Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,stress_numeric
9.8,0.8,9.8,3.6,0.0,3.59,3
8.6,3.9,7.8,1.0,2.7,3.69,3
5.4,2.5,9.9,1.1,5.1,2.54,1
9.0,3.6,9.7,1.6,0.1,3.44,3
8.8,0.6,7.4,4.3,2.9,3.32,3
6.2,2.6,8.3,1.0,5.9,3.23,2
7.5,0.0,5.0,2.1,9.4,3.2,3
9.6,0.9,8.2,1.2,4.1,3.62,3
8.6,0.4,7.1,0.2,7.7,3.2,3
7.4,2.6,5.6,1.7,6.7,3.26,3
10.0,0.2,8.8,1.9,3.1,3.46,3
7.0,3.0,9.6,4.2,0.2,2.68,2
8.9,1.0,7.8,2.2,4.1,3.54,3
8.3,1.0,6.0,5.5,3.2,3.25,3
6.1,0.2,5.2,1.1,11.4,2.72,3
9.3,1.1,9.8,2.2,1.6,3.79,3
7.6,3.0,6.4,2.1,4.9,2.83,2
9.5,3.8,9.5,0.5,0.7,3.4,3
7.5,0.8,8.0,1.1,6.6,3.43,2
6.7,3.4,6.0,0.4,7.5,2.48,2
9.1,3.3,6.7,3.4,1.5,3.4,3
8.9,2.6,5.8,5.3,1.4,2.98,3
7.1,0.2,5.6,4.6,6.5,3.13,3
5.0,1.7,7.6,0.3,9.4,2.53,1
6.2,0.0,8.6,5.8,3.4,2.71,2
6.1,2.7,8.7,5.1,1.4,2.57,2
6.6,2.9,9.1,1.0,4.4,2.85,2
6.9,3.6,9.0,4.4,0.1,2.92,2
8.0,2.6,5.4,3.3,4.7,3.48,3
8.5,0.7,8.9,3.4,2.5,3.41,3
6.5,2.9,8.8,0.6,5.2,2.67,2
7.6,2.0,6.8,5.6,2.0,3.25,2
8.6,1.8,9.6,2.8,1.2,3.47,3
8.6,3.4,6.4,4.5,1.1,3.18,3
6.7,3.9,9.3,2.9,1.2,2.78,2
8.6,2.2,9.7,1.7,1.8,3.07,3
8.9,2.9,6.9,0.1,5.2,3.26,3
9.2,0.0,8.5,5.8,0.5,3.08,3
8.5,3.3,7.7,4.4,0.1,3.2,3
5.3,2.0,8.6,5.2,2.9,2.89,1
7.8,1.6,5.7,5.2,3.7,3.06,3
5.8,1.2,6.5,5.2,5.3,3.08,1
6.3,2.5,7.9,5.0,2.3,3.07,2
9.5,0.0,8.4,0.3,5.8,3.07,3
6.5,1.4,8.1,2.0,6.0,3.06,2
8.7,1.6,5.3,4.7,3.7,3.2,3
8.4,1.3,5.3,2.2,6.8,2.92,3
9.7,2.6,8.4,2.1,1.2,3.38,3
8.8,0.4,6.4,1.7,6.7,3.05,3
7.2,3.9,5.3,3.1,4.5,3.03,3
8.7,2.8,7.1,1.9,3.5,3.12,3
7.0,1.1,6.0,2.9,7.0,2.87,2
8.3,3.9,8.0,0.3,3.5,3.04,3
5.4,3.8,6.5,0.6,7.7,3.14,1
8.2,1.1,5.1,5.8,3.8,3.5,3
6.3,2.7,8.5,3.7,2.8,2.72,2
8.0,3.5,9.7,0.3,2.5,3.02,2
5.8,3.8,8.7,5.0,0.7,2.95,1
8.5,2.7,7.0,0.1,5.7,3.01,3
7.9,1.0,7.3,5.7,2.1,3.41,2
5.9,2.7,9.9,0.6,4.9,2.82,1
5.0,1.7,5.5,4.5,7.3,2.72,3
6.3,1.7,8.6,0.1,7.3,3.11,2
7.9,2.5,8.2,1.3,4.1,3.08,2
6.0,3.5,8.7,0.1,5.7,2.95,2
6.2,0.9,6.4,1.5,9.0,2.92,2
8.7,2.4,8.4,0.4,4.1,3.16,3
9.8,3.4,9.0,1.5,0.3,3.49,3
6.0,2.5,8.7,4.4,2.4,3.05,2
7.6,0.3,6.9,5.5,3.7,3.35,2
6.3,1.5,9.5,4.0,2.7,3.42,2
8.9,1.8,8.2,1.3,3.8,3.21,3
7.2,2.6,9.7,0.3,4.2,3.42,2
9.1,1.2,7.2,0.1,6.4,3.37,3
5.3,2.0,9.6,0.6,6.5,2.41,1
8.8,1.6,8.3,1.4,3.9,3.26,3
5.4,0.7,8.3,5.3,4.3,2.75,1
9.1,2.7,5.6,1.7,4.9,3.15,3
7.6,2.1,6.8,2.1,5.4,2.97,2
9.1,3.2,6.5,4.8,0.4,3.34,3
6.8,2.0,9.7,4.8,0.7,3.09,2
5.5,1.6,7.8,3.0,6.1,2.9,1
8.4,3.4,9.3,2.2,0.7,3.2,3
7.2,2.4,5.8,4.0,4.6,3.19,3
6.1,0.5,5.8,0.0,11.6,2.73,3
8.6,2.9,7.6,0.8,4.1,3.15,3
5.5,0.9,7.6,3.6,6.4,2.57,1
6.2,0.2,7.0,1.4,9.2,3.13,2
7.1,1.7,7.7,4.2,3.3,3.48,2
8.5,0.7,7.5,2.5,4.8,3.34,3
7.7,0.5,8.0,0.7,7.1,3.34,2
6.7,0.6,8.5,1.2,7.0,3.18,2
6.0,2.0,7.1,0.1,8.8,2.85,2
9.0,0.3,7.4,3.4,3.9,3.64,3
6.3,0.0,8.6,3.2,5.9,3.14,2
9.2,3.3,9.2,1.1,1.2,3.6,3
7.3,0.7,9.3,5.3,1.4,2.97,2
7.3,0.3,6.9,4.8,4.7,3.09,2
5.3,3.5,6.9,3.3,5.0,2.81,1
9.8,0.3,8.2,0.4,5.3,3.71,3
7.2,4.0,7.8,1.6,3.4,2.98,2
6.1,1.4,6.9,0.4,9.2,2.79,2
8.6,2.6,8.5,0.0,4.3,2.85,3
6.1,2.6,7.4,0.0,7.9,3.03,2
7.7,0.3,8.8,3.5,3.7,3.29,2
8.9,3.0,9.0,1.6,1.5,3.42,3
8.1,3.0,5.8,1.2,5.9,3.04,3
9.5,3.0,9.5,1.5,0.5,3.76,3
9.4,2.3,8.2,0.6,3.5,3.62,3
7.4,2.9,6.4,1.2,6.1,2.89,2
6.1,1.7,9.5,3.0,3.7,2.76,2
5.9,0.3,8.5,2.3,7.0,2.99,1
9.0,1.1,8.5,1.4,4.0,3.56,3
9.7,2.5,6.6,1.4,3.8,3.57,3
6.1,2.4,6.3,4.0,5.2,2.73,2
9.1,3.1,8.8,0.6,2.4,3.42,3
6.8,1.7,5.2,1.6,8.7,2.91,3
5.2,3.5,6.2,3.3,5.8,2.8,1
6.6,3.6,9.4,1.4,3.0,2.94,2
9.5,4.0,9.1,1.2,0.2,3.52,3
5.3,0.4,10.0,2.0,6.3,2.49,1
8.7,3.2,9.3,2.8,0.0,3.1,3
5.1,1.4,8.9,3.4,5.2,2.72,1
6.6,2.6,6.2,0.1,8.5,3.11,2
8.8,0.2,9.2,3.6,2.2,3.59,3
7.8,2.5,9.3,2.6,1.8,3.2,2
8.8,1.8,8.5,1.9,3.0,3.32,3
6.1,2.4,9.6,5.5,0.4,2.99,2
6.1,4.0,9.9,2.6,1.4,2.49,2
9.0,2.9,8.0,0.2,3.9,3.74,3
8.4,1.5,9.7,0.7,3.7,3.16,3
7.5,2.8,8.5,3.4,1.8,2.98,2
8.2,2.4,5.9,4.2,3.3,3.13,3
7.3,2.7,9.2,0.8,4.0,3.41,2
9.2,3.2,9.8,1.0,0.8,3.55,3
7.4,1.6,5.8,3.4,5.8,3.19,3
7.9,2.4,6.8,0.3,6.6,3.14,2
5.2,1.7,5.4,3.6,8.1,2.55,3
9.3,3.5,6.0,3.8,1.4,3.52,3
6.4,3.2,10.0,0.1,4.3,3.01,2
9.9,1.9,9.2,0.2,2.8,3.65,3
6.7,0.3,9.9,4.9,2.2,2.96,2
5.4,0.8,6.1,2.8,8.9,2.66,1
6.3,0.4,5.8,0.9,10.6,2.93,3
6.4,3.2,6.6,1.8,6.0,3.06,2
6.2,0.5,6.3,2.1,8.9,2.84,2
6.1,3.2,5.7,2.1,6.9,2.95,3
9.3,0.6,5.4,2.9,5.8,3.51,3
9.0,0.5,7.9,3.0,3.6,2.99,3
5.7,2.5,6.4,2.9,6.5,2.84,1
6.5,3.3,5.3,2.5,6.4,2.81,3
7.3,2.9,7.9,3.9,2.0,3.19,2
6.6,2.2,9.2,5.9,0.1,3.06,2
9.4,1.5,6.0,2.9,4.2,3.4,3
7.4,3.4,6.8,5.2,1.2,3.45,2
7.0,1.3,7.3,4.6,3.8,3.0,2
9.8,0.7,7.8,3.3,2.4,3.41,3
7.4,2.6,6.1,3.3,4.6,3.41,2
5.7,2.3,5.9,1.7,8.4,2.62,3
6.1,0.7,9.1,1.7,6.4,2.69,2
6.9,3.2,6.8,0.5,6.6,3.08,2
7.8,3.4,9.0,0.7,3.1,2.95,2
6.1,3.5,6.2,1.6,6.6,3.05,2
5.0,3.5,9.0,3.8,2.7,2.62,1
7.3,1.4,5.5,2.9,6.9,3.19,3
9.6,0.2,6.5,1.2,6.5,3.5,3
7.3,1.9,8.8,0.9,5.1,3.06,2
7.4,1.7,8.0,6.0,0.9,3.0,2
9.1,0.7,5.2,1.2,7.8,3.64,3
6.7,2.0,8.1,5.5,1.7,3.11,2
5.3,0.1,7.8,2.6,8.2,3.58,1
9.2,0.6,5.1,2.7,6.4,3.27,3
8.0,1.1,5.9,2.3,6.7,3.27,3
9.0,1.6,8.8,0.6,4.0,3.2,3
8.4,2.3,9.6,1.4,2.3,3.41,3
5.3,0.1,9.1,3.1,6.4,2.65,1
6.7,0.1,9.8,4.0,3.4,3.15,2
9.7,1.1,8.1,3.5,1.6,3.63,3
9.7,3.5,8.7,0.6,1.5,3.36,3
6.4,3.9,5.1,4.3,4.3,3.14,3
10.0,1.2,6.7,0.5,5.6,3.79,3
7.2,1.0,6.7,5.0,4.1,3.21,2
5.3,0.4,5.8,3.6,8.9,2.76,3
5.8,3.9,7.2,3.0,4.1,2.83,1
8.3,3.0,8.8,2.3,1.6,2.92,3
9.5,3.3,8.8,0.1,2.3,3.24,3
7.0,3.5,9.5,3.6,0.4,3.4,2
6.6,2.8,6.4,1.1,7.1,2.88,2
7.1,3.3,5.6,4.4,3.6,2.85,3
7.7,1.2,7.5,1.8,5.8,2.88,2
5.8,0.5,7.7,5.4,4.6,3.27,1
6.7,2.9,8.3,5.6,0.5,3.06,2
8.3,3.6,7.0,1.7,3.4,3.5,3
5.1,3.3,9.0,0.6,6.0,2.54,1
5.6,3.9,6.1,0.4,8.0,3.32,1
8.0,3.0,5.2,4.0,3.8,3.01,3
5.9,2.3,6.5,5.6,3.7,2.9,1
9.1,3.9,6.3,4.6,0.1,2.98,3
5.3,0.2,8.5,2.7,7.3,2.62,1
6.1,2.5,6.3,3.5,5.6,3.13,2
9.1,1.9,6.8,2.2,4.0,3.27,3
9.0,1.3,6.0,0.5,7.2,3.05,3
9.2,0.9,6.9,4.9,2.1,2.81,3
9.1,1.5,7.3,1.8,4.3,3.4,3
7.7,0.1,7.4,2.4,6.4,3.24,2
5.8,2.6,9.9,3.2,2.5,2.8,1
7.1,0.5,8.1,5.6,2.7,3.1,2
8.3,0.3,6.8,3.3,5.3,3.48,3
9.1,2.4,6.9,1.4,4.2,3.3,3
5.5,1.4,7.1,4.1,5.9,2.71,1
7.0,0.7,5.8,5.0,5.5,3.09,3
5.2,1.7,5.8,5.3,6.0,2.48,3
7.5,2.9,9.8,0.8,3.0,3.19,2
9.4,3.7,9.6,0.8,0.5,3.16,3
8.8,2.1,8.4,2.0,2.7,3.66,3
8.7,3.3,5.7,5.0,1.3,3.55,3
7.2,1.5,9.6,1.4,4.3,3.11,2
9.2,1.9,7.6,1.6,3.7,3.02,3
5.2,1.1,5.0,5.9,6.8,2.93,3
9.8,1.6,8.6,1.4,2.6,3.68,3
9.7,1.6,8.9,1.0,2.8,3.57,3
10.0,0.1,8.0,3.9,2.0,3.35,3
9.7,0.7,8.1,1.2,4.3,3.53,3
6.5,2.2,7.1,1.0,7.2,2.91,2
8.8,3.6,5.4,2.4,3.8,3.08,3
5.5,0.1,8.3,3.6,6.5,2.73,1
5.1,3.3,9.9,0.8,4.9,2.64,1
6.2,3.5,9.6,2.0,2.7,2.55,2
5.1,2.3,5.1,4.7,6.8,3.03,3
6.5,0.2,7.9,2.4,7.0,2.98,2
6.4,2.8,6.4,5.4,3.0,3.05,2
6.9,2.2,5.3,2.6,7.0,3.12,3
6.1,0.9,9.1,5.6,2.3,3.01,2
5.5,1.8,6.7,5.2,4.8,2.24,1
6.7,1.6,7.6,1.0,7.1,2.93,2
7.9,3.2,8.8,0.6,3.5,3.09,2
6.8,1.6,8.4,0.3,6.9,2.88,2
5.2,1.6,8.5,1.2,7.5,2.52,1
9.4,3.6,6.5,1.0,3.5,3.57,3
7.1,1.0,8.4,5.0,2.5,3.26,2
7.0,0.6,8.7,2.2,5.5,3.15,2
8.4,1.1,5.4,6.0,3.1,3.44,3
9.3,1.2,7.3,3.7,2.5,3.76,3
7.1,1.7,6.7,3.4,5.1,2.99,2
9.7,2.8,9.1,1.3,1.1,3.54,3
8.9,0.1,9.1,0.2,5.7,3.14,3
8.8,1.0,9.3,0.5,4.4,3.18,3
5.6,3.9,8.4,5.1,1.0,3.08,1
8.0,2.4,8.4,3.0,2.2,2.96,2
7.1,1.1,8.8,1.4,5.6,2.85,2
8.1,3.0,6.1,0.4,6.4,3.37,3
5.7,2.4,9.2,0.3,6.4,2.69,1
7.4,3.7,6.7,2.8,3.4,3.36,2
5.1,0.3,6.3,0.2,12.1,2.55,1
7.7,0.7,6.5,4.0,5.1,3.54,2
9.8,0.2,9.5,2.6,1.9,3.47,3
5.3,0.4,8.0,2.0,8.3,3.37,1
9.6,1.6,5.7,4.3,2.8,3.49,3
8.5,3.6,9.0,2.0,0.9,2.9,3
8.4,3.8,6.5,0.0,5.3,3.08,3
8.3,2.5,8.0,0.1,5.1,3.1,3
8.6,1.3,8.3,3.2,2.6,3.11,3
5.5,3.3,9.6,3.6,2.0,2.75,1
5.5,1.6,8.6,4.7,3.6,2.64,1
6.3,0.1,7.7,5.1,4.8,3.22,2
9.8,2.3,7.6,0.4,3.9,3.04,3
8.0,1.6,6.2,0.6,7.6,3.38,2
6.6,0.4,5.9,5.9,5.2,3.27,3
9.4,4.0,7.9,2.2,0.5,2.91,3
6.6,1.2,7.0,4.0,5.2,2.76,2
5.7,2.5,5.6,3.5,6.7,3.08,3
8.5,2.8,8.8,3.4,0.5,3.63,3
8.1,0.7,5.1,1.7,8.4,3.21,3
7.2,2.5,9.2,1.0,4.1,3.07,2
7.9,2.2,5.4,0.3,8.2,2.99,3
5.5,2.3,7.7,1.4,7.1,3.05,1
5.2,2.0,8.4,1.5,6.9,2.88,1
6.5,2.5,9.5,4.5,1.0,3.29,2
6.8,2.6,7.3,1.1,6.2,3.13,2
8.5,2.2,6.8,5.5,1.0,3.07,3
8.4,1.6,8.8,2.4,2.8,3.51,3
7.1,3.7,6.3,0.7,6.2,3.15,2
6.9,0.2,6.7,3.0,7.2,3.05,2
5.8,2.6,10.0,2.5,3.1,2.64,1
5.6,3.5,7.1,2.3,5.5,2.5,1
8.3,1.8,8.2,0.4,5.3,3.33,3
5.8,1.9,8.0,3.5,4.8,2.9,1
7.0,1.4,5.6,2.4,7.6,3.15,3
6.0,0.2,7.8,3.6,6.4,2.75,2
9.4,2.3,6.7,4.5,1.1,3.25,3
7.8,3.6,7.0,1.7,3.9,3.19,2
5.7,0.6,7.2,3.6,6.9,2.96,1
9.1,0.3,7.4,3.8,3.4,3.66,3
9.1,3.1,6.4,5.1,0.3,3.45,3
7.9,3.7,8.4,1.9,2.1,2.68,2
9.0,3.8,5.1,5.9,0.2,3.22,3
7.2,2.6,6.9,0.3,7.0,3.0,2
8.0,3.6,6.9,1.2,4.3,3.08,2
9.1,3.3,7.9,1.3,2.4,3.35,3
9.0,2.2,9.1,2.3,1.4,3.44,3
7.1,3.8,7.7,3.3,2.1,3.33,2
6.1,2.5,7.9,1.1,6.4,2.94,2
8.8,2.1,6.1,4.0,3.0,3.2,3
5.4,1.8,5.8,1.1,9.9,2.71,3
5.3,1.6,7.6,2.9,6.6,2.54,1
6.9,3.4,5.7,3.0,5.0,3.37,3
9.4,2.2,9.8,0.1,2.5,3.79,3
5.5,0.2,5.9,3.2,9.2,2.74,3
9.7,3.4,6.5,0.3,4.1,3.48,3
5.8,0.5,5.6,3.1,9.0,2.73,3
9.9,2.7,9.7,0.2,1.5,3.23,3
6.9,2.2,5.4,0.0,9.5,3.27,3
7.1,2.0,7.1,0.1,7.7,3.34,2
6.7,0.7,5.5,5.7,5.4,3.31,3
6.6,1.6,6.2,0.6,9.0,3.12,2
5.9,3.2,8.4,3.3,3.2,3.05,1
5.4,1.1,6.7,4.7,6.1,2.8,1
10.0,1.0,9.4,3.0,0.6,3.4,3
7.0,3.9,5.9,4.8,2.4,2.78,3
6.7,2.9,7.1,3.5,3.8,3.09,2
9.3,0.2,8.5,0.8,5.2,3.49,3
7.1,2.2,7.0,3.1,4.6,2.87,2
5.7,0.6,9.7,5.3,2.7,3.18,1
9.5,4.0,6.0,1.6,2.9,3.39,3
7.1,1.4,8.0,3.5,4.0,3.48,2
5.8,1.9,7.8,3.4,5.1,3.01,1
5.1,1.4,8.9,3.4,5.2,2.6,1
6.3,2.8,7.8,4.8,2.3,3.08,2
7.4,0.5,6.3,2.5,7.3,3.4,2
8.0,2.1,6.4,0.0,7.5,2.83,2
8.7,0.1,7.9,5.6,1.7,3.3,3
5.9,1.9,5.5,3.8,6.9,2.45,3
7.6,3.6,6.0,0.1,6.7,3.38,2
9.3,2.3,9.5,1.7,1.2,3.34,3
8.7,3.7,7.9,0.7,3.0,3.57,3
6.3,0.8,6.2,1.8,8.9,3.37,2
7.1,2.5,5.4,0.5,8.5,3.33,3
5.9,2.1,6.1,1.7,8.2,3.13,1
5.1,2.6,8.3,4.8,3.2,2.69,1
9.7,0.1,5.8,5.3,3.1,3.92,3
8.3,2.7,9.7,3.3,0.0,2.95,3
8.6,1.1,9.4,0.2,4.7,3.36,3
6.3,0.9,5.7,5.2,5.9,2.9,3
7.5,2.7,6.2,4.5,3.1,2.97,2
7.1,0.8,9.9,3.9,2.3,3.28,2
9.7,1.2,8.9,3.2,1.0,3.26,3
8.4,2.9,7.9,1.0,3.8,3.2,3
7.5,1.2,7.1,3.9,4.3,2.96,2
7.0,1.1,6.0,4.7,5.2,3.2,2
9.5,1.5,8.8,3.8,0.4,3.36,3
9.8,1.5,6.7,0.4,5.6,3.54,3
7.4,0.4,6.2,1.9,8.1,3.16,2
6.5,3.4,9.3,3.7,1.1,3.02,2
5.7,2.8,9.7,4.0,1.8,2.86,1
8.2,2.0,5.6,1.9,6.3,2.81,3
9.0,3.4,5.7,5.6,0.3,3.59,3
8.8,3.2,9.7,0.7,1.6,3.07,3
9.3,0.5,8.5,4.2,1.5,3.17,3
9.4,0.7,5.3,4.3,4.3,3.57,3
7.4,3.4,6.9,1.0,5.3,3.15,2
5.9,2.9,7.6,3.6,4.0,3.13,1
7.3,3.3,9.1,3.1,1.2,3.34,2
6.8,3.5,8.6,0.6,4.5,3.23,2
7.0,3.5,5.2,5.8,2.5,3.26,3
6.4,1.0,9.7,1.8,5.1,3.25,2
8.9,1.6,5.7,0.1,7.7,3.42,3
6.8,1.4,6.7,3.1,6.0,3.03,2
7.2,3.5,7.5,2.9,2.9,3.04,2
8.3,2.4,7.1,2.5,3.7,3.22,3
8.9,0.8,9.1,3.4,1.8,3.1,3
6.3,3.0,7.6,1.9,5.2,2.48,2
8.0,4.0,7.2,4.4,0.4,3.11,2
6.0,1.7,6.1,0.0,10.2,2.87,2
9.6,3.4,8.7,0.4,1.9,3.5,3
7.2,0.5,7.6,2.1,6.6,3.11,2
6.9,2.5,8.6,0.7,5.3,3.29,2
6.7,1.8,8.4,3.1,4.0,2.92,2
9.3,3.5,5.0,4.7,1.5,3.45,3
7.4,3.9,8.8,1.0,2.9,3.11,2
7.7,4.0,9.3,0.3,2.7,2.96,2
5.0,1.6,6.2,4.9,6.3,3.01,1
6.7,3.3,5.0,1.8,7.2,2.85,3
5.3,0.7,7.8,1.7,8.5,2.64,1
7.1,1.5,9.4,5.4,0.6,2.65,2
5.5,3.8,5.3,1.8,7.6,2.81,3
6.5,1.3,5.8,4.7,5.7,3.04,3
5.6,0.3,9.5,1.1,7.5,2.66,1
9.1,2.2,5.4,5.7,1.6,3.48,3
5.8,3.4,5.1,3.1,6.6,2.79,3
8.8,3.7,9.5,1.6,0.4,3.29,3
6.4,1.2,6.9,2.4,7.1,3.0,2
7.7,0.6,8.5,1.0,6.2,3.16,2
9.0,3.0,8.2,0.6,3.2,2.96,3
7.7,0.3,6.9,2.5,6.6,3.08,2
5.9,1.6,9.7,0.8,6.0,2.86,1
8.8,0.4,9.9,1.9,3.0,3.19,3
8.1,0.8,5.7,5.6,3.8,3.45,3
9.6,3.5,8.1,2.3,0.5,3.4,3
6.6,2.5,6.8,0.9,7.2,2.88,2
8.0,3.3,6.9,0.8,5.0,3.08,2
6.5,2.6,8.0,4.2,2.7,2.83,2
6.8,3.3,6.0,2.8,5.1,2.92,2
5.5,3.5,6.7,4.1,4.2,2.92,1
5.1,2.8,6.6,0.3,9.2,2.49,1
6.9,0.3,5.7,1.8,9.3,3.15,3
5.4,3.6,5.0,2.9,7.1,2.74,3
9.6,0.6,9.8,0.8,3.2,3.29,3
8.7,2.2,9.4,2.0,1.7,3.03,3
5.8,3.7,6.6,2.2,5.7,2.9,1
8.8,1.4,9.8,3.0,1.0,3.51,3
5.2,1.0,7.3,1.4,9.1,2.83,1
8.7,3.7,7.1,1.5,3.0,3.29,3
7.4,1.4,9.5,3.2,2.5,3.22,2
8.8,3.2,6.7,2.3,3.0,3.24,3
9.0,3.8,8.1,2.3,0.8,3.55,3
9.0,3.4,7.0,0.2,4.4,3.68,3
7.3,3.0,6.8,3.8,3.1,2.91,2
5.9,3.0,7.7,1.2,6.2,3.09,1
7.4,0.9,9.8,4.2,1.7,2.94,2
9.8,1.7,7.4,4.6,0.5,3.84,3
6.3,1.8,5.6,1.2,9.1,2.99,3
5.0,0.2,9.9,1.5,7.4,2.94,1
7.8,0.6,8.6,3.6,3.4,3.26,2
8.7,3.1,9.9,1.3,1.0,3.55,3
5.3,3.6,5.6,2.0,7.5,2.53,3
9.1,2.4,7.0,2.6,2.9,3.28,3
9.3,0.4,8.9,4.6,0.8,3.58,3
5.9,1.7,5.8,4.2,6.4,3.32,3
6.0,0.8,5.2,1.9,10.1,3.01,3
7.8,3.4,8.3,2.0,2.5,3.18,2
6.3,0.2,8.6,0.7,8.2,3.1,2
6.5,2.1,7.8,3.6,4.0,2.9,2
8.1,3.9,8.6,3.1,0.3,2.99,3
8.8,2.4,6.0,4.0,2.8,3.59,3
7.4,2.1,6.7,3.1,4.7,3.44,2
6.0,3.2,5.9,0.5,8.4,3.28,3
7.2,1.1,7.8,2.1,5.8,2.93,2
9.7,3.7,7.5,1.0,2.1,3.04,3
9.6,0.0,7.8,4.4,2.2,3.38,3
7.4,0.3,9.9,3.1,3.3,2.84,2
7.4,1.7,5.4,0.6,8.9,3.23,3
9.2,1.0,6.0,3.0,4.8,3.18,3
5.2,0.2,9.2,0.7,8.7,2.82,1
5.2,1.8,9.2,1.6,6.2,2.68,1
7.2,2.3,7.9,2.0,4.6,3.06,2
6.6,0.4,6.8,0.6,9.6,3.31,2
6.4,2.5,7.3,2.9,4.9,3.12,2
8.8,1.1,6.6,5.5,2.0,3.32,3
9.6,2.4,7.7,1.1,3.2,3.3,3
6.7,3.4,7.8,3.1,3.0,2.98,2
8.0,0.3,8.4,5.6,1.7,3.28,2
7.9,0.5,7.9,4.6,3.1,3.38,2
8.2,3.6,8.1,0.5,3.6,3.18,3
6.5,0.8,9.5,4.6,2.6,2.74,2
5.9,3.0,7.4,1.4,6.3,3.1,1
8.1,0.2,6.6,2.8,6.3,3.14,3
6.0,3.1,7.1,3.4,4.4,2.84,2
5.1,0.1,7.2,4.9,6.7,2.94,1
6.9,3.3,5.7,5.6,2.5,3.05,3
8.8,3.8,8.4,1.1,1.9,3.3,3
6.7,2.8,8.8,5.3,0.4,3.05,2
6.0,3.2,8.7,0.4,5.7,2.6,2
6.5,3.9,8.2,3.9,1.5,2.82,2
9.9,1.5,9.0,1.6,2.0,3.44,3
9.7,0.9,6.6,4.5,2.3,3.5,3
7.0,2.4,7.2,4.5,2.9,3.0,2
5.8,1.4,7.0,0.3,9.5,2.49,1
7.9,3.5,5.8,3.6,3.2,3.01,3
8.5,1.6,7.5,0.0,6.4,3.63,3
8.5,2.6,5.2,2.2,5.5,3.26,3
7.5,3.6,8.6,2.5,1.8,3.19,2
9.0,3.5,7.3,2.0,2.2,3.43,3
8.5,0.3,9.3,2.8,3.1,3.26,3
5.3,2.2,7.1,5.3,4.1,2.9,1
7.8,0.2,9.9,3.1,3.0,3.07,2
6.5,1.9,9.3,1.8,4.5,2.92,2
6.5,3.1,7.4,1.4,5.6,2.93,2
5.8,1.3,9.7,2.1,5.1,2.87,1
5.9,3.6,7.3,4.3,2.9,2.95,1
9.9,0.2,5.5,4.3,4.1,3.32,3
5.2,0.1,8.9,0.8,9.0,2.66,1
7.3,2.4,7.1,0.2,7.0,3.17,2
7.2,2.1,7.4,2.3,5.0,3.13,2
9.4,3.6,6.7,2.6,1.7,2.81,3
6.4,3.8,5.7,3.5,4.6,3.07,3
6.4,1.1,7.0,6.0,3.5,2.98,2
5.4,0.6,7.2,3.1,7.7,2.68,1
6.3,1.3,5.4,1.8,9.2,3.1,3
9.5,0.0,9.1,5.1,0.3,3.05,3
5.5,0.6,9.8,3.2,4.9,3.2,1
8.7,4.0,6.4,2.6,2.3,3.21,3
7.7,1.6,5.8,5.9,3.0,3.15,3
8.0,0.9,7.7,4.2,3.2,3.44,2
7.6,4.0,8.1,1.6,2.7,3.02,2
6.9,1.4,7.2,4.7,3.8,3.14,2
7.4,3.2,7.9,1.9,3.6,2.99,2
6.1,2.0,6.3,0.1,9.5,3.05,2
8.2,2.0,7.2,5.8,0.8,3.45,3
5.7,2.3,9.3,3.5,3.2,2.9,1
8.6,1.5,5.5,2.7,5.7,3.49,3
6.2,3.9,9.8,1.0,3.1,2.87,2
6.7,3.6,9.8,1.7,2.2,3.06,2
8.4,1.1,8.7,0.3,5.5,2.86,3
5.2,1.5,6.8,1.9,8.6,2.38,1
6.0,1.2,9.9,2.5,4.4,2.88,2
7.2,2.3,9.9,1.1,3.5,3.31,2
8.0,0.4,8.4,0.4,6.8,3.39,2
8.0,3.0,6.1,5.0,1.9,2.9,2
5.7,3.8,5.4,1.2,7.9,2.81,3
6.7,2.5,7.7,0.8,6.3,2.81,2
6.1,1.6,8.5,1.3,6.5,2.76,2
6.8,1.6,9.9,5.4,0.3,2.89,2
5.3,1.3,6.3,3.0,8.1,2.94,1
8.9,3.4,9.2,0.9,1.6,3.11,3
5.3,2.8,5.0,2.5,8.4,3.02,3
6.6,2.8,8.8,1.8,4.0,2.87,2
7.2,2.9,8.5,5.3,0.1,3.26,2
6.1,2.6,8.0,5.5,1.8,3.01,2
7.8,1.1,7.4,2.0,5.7,3.04,2
7.9,3.6,7.8,3.0,1.7,3.05,2
6.2,2.0,6.6,1.1,8.1,2.94,2
7.5,1.3,6.3,2.8,6.1,3.21,2
5.5,3.1,9.0,4.6,1.8,2.97,1
5.6,2.6,9.2,3.5,3.1,2.72,1
7.6,0.1,8.2,0.5,7.6,3.56,2
7.2,1.2,7.7,0.8,7.1,3.28,2
5.8,0.4,5.7,5.3,6.8,3.0,3
7.6,1.9,5.5,3.9,5.1,3.17,3
8.1,0.3,5.6,0.3,9.7,3.25,3
6.3,0.5,6.3,2.3,8.6,2.97,2
9.2,2.8,5.6,4.4,2.0,3.5,3
6.4,2.6,6.7,6.0,2.3,2.78,2
9.7,0.1,8.5,4.1,1.6,3.26,3
9.2,3.9,9.9,0.1,0.9,3.48,3
8.2,0.5,8.3,5.9,1.1,3.44,3
