id,sleep_hours,daily_exercise_mins,screen_time_hours,diet_quality_1_10,stress_level_1_10,productivity_score_1_10,mood_level_1_10
3056,5.71,25,1.62,4,8,4.03,5.58
3057,6.17,4,7.77,7,7,4.63,5.0
3058,7.31,6,3.35,5,7,4.88,3.9
3059,5.2,11,2.46,6,4,5.28,3.59
3060,6.41,44,3.43,5,6,5.16,4.15
3061,7.48,17,5.7,4,8,3.24,4.15
3062,6.5,67,5.33,6,8,4.13,6.12
3063,6.86,2,2.85,4,6,4.14,2.32
3064,6.21,12,3.2,3,6,3.8,4.24
3065,4.73,11,1.09,7,6,5.75,4.04
3066,7.48,18,4.28,4,7,3.94,5.18
3067,9.63,33,6.56,9,6,7.02,7.15
3068,7.03,37,2.84,9,6,7.27,8.06
3069,7.34,22,5.27,8,8,5.86,5.73
3070,8.04,21,2.84,4,8,5.44,6.08
3071,5.1,60,1.81,10,5,7.27,5.68
3072,9.55,10,5.36,2,8,4.74,4.22
3073,7.3,36,8.7,4,10,4.6,2.51
3074,9.45,51,5.09,7,5,6.57,6.8
3075,5.9,14,3.17,7,7,6.21,4.8
3076,9.73,26,3.3,5,6,6.09,6.25
3077,8.16,9,7.82,5,7,4.18,4.72
3078,7.83,3,4.61,6,5,4.65,6.57
3079,7.35,18,2.47,6,7,4.8,5.08
3080,6.63,4,3.88,5,6,3.44,5.08
3081,8.8,12,4.43,9,7,7.22,7.82
3082,7.21,41,4.94,5,9,5.75,6.18
3083,4.05,2,7.02,9,8,4.91,4.86
3084,5.32,1,6.55,7,7,4.34,4.62
3085,6.72,19,4.4,8,5,4.84,6.14
3086,7.46,8,3.92,3,7,3.82,5.56
3087,6.92,11,4.79,8,7,5.65,5.61
3088,8.83,10,2.78,8,4,6.12,6.77
3089,4.07,2,5.96,5,10,3.06,2.48
3090,7.22,0,3.59,8,7,4.41,4.97
3091,4.27,46,4.98,3,9,2.6,3.67
3092,8.14,5,7.43,5,8,4.13,3.99
3093,6.86,11,5.11,8,5,6.3,5.99
3094,7.63,71,4.46,6,6,5.98,5.62
3095,5.7,35,2.97,6,9,3.98,4.09
3096,8.92,2,3.84,9,6,6.0,5.92
3097,8.56,14,1.73,2,7,5.55,6.44
3098,7.88,26,5.07,6,6,5.87,5.94
3099,6.81,24,0.5,6,6,4.59,4.27
3100,7.87,29,5.94,5,7,5.06,7.07
3101,5.94,12,5.46,8,6,5.16,5.41
3102,8.28,4,4.2,4,7,5.22,4.18
3103,9.47,13,2.93,4,7,4.41,5.16
3104,8.61,21,3.97,2,7,4.15,5.74
3105,5.91,19,0.5,8,6,6.22,5.06
3106,7.54,1,5.65,5,6,5.24,4.48
3107,5.06,1,3.67,5,7,3.49,4.44
3108,7.86,67,7.03,6,6,6.0,5.56
3109,7.68,3,4.78,8,5,5.36,7.07
3110,4.2,7,4.46,9,7,4.93,4.28
3111,5.26,29,4.8,3,9,4.0,2.84
3112,6.58,11,2.05,5,6,4.22,4.5
3113,6.55,4,3.1,4,8,3.81,3.91
3114,5.19,13,4.27,6,6,4.49,4.8
3115,7.58,17,3.39,6,6,4.93,5.25
3116,7.38,12,2.85,3,10,3.49,3.37
3117,6.71,50,3.44,7,6,5.87,6.12
3118,5.87,7,4.09,5,6,5.11,3.77
3119,8.57,22,8.64,7,8,4.85,6.23
3120,9.48,2,3.35,6,6,5.18,4.36
3121,6.27,10,2.65,3,8,3.23,4.01
3122,6.08,27,3.69,7,8,4.82,4.98
3123,7.74,5,7.0,4,7,5.28,4.74
3124,6.46,18,7.15,4,7,3.76,4.51
3125,6.79,3,7.9,5,8,5.0,4.24
3126,8.11,2,4.12,5,8,4.37,6.56
3127,4.14,15,5.28,3,9,1.96,3.38
3128,8.98,22,1.9,6,5,7.24,7.62
3129,7.11,2,3.29,6,7,4.74,5.24
3130,6.38,50,1.77,6,7,5.93,4.79
3131,6.87,5,4.95,3,6,4.66,2.4
3132,6.94,3,4.08,6,5,5.47,5.45
3133,4.4,5,4.45,7,7,4.03,4.87
3134,9.24,4,2.31,4,7,5.41,4.18
3135,7.06,2,5.7,4,10,3.59,3.92
3136,7.66,32,0.5,7,5,5.05,5.03
3137,8.43,14,3.5,9,5,6.12,7.36
3138,5.47,10,3.79,6,6,5.09,5.16
3139,7.71,60,0.5,5,6,6.51,4.22
3140,6.6,9,4.77,6,6,5.55,3.74
3141,8.27,4,3.65,8,5,5.95,4.57
3142,3.81,6,5.12,4,8,4.0,3.4
3143,6.85,5,8.0,5,6,3.64,4.8
3144,6.1,14,4.65,5,10,5.84,4.74
3145,7.65,7,5.95,3,9,3.85,3.05
3146,7.71,15,6.76,8,7,5.5,5.35
3147,5.94,22,4.98,6,8,3.58,3.95
3148,5.93,30,2.27,2,9,3.25,2.73
3149,6.83,25,0.72,6,6,5.83,4.62
3150,5.66,5,4.75,9,7,5.44,4.31
3151,8.26,2,3.2,6,5,4.44,5.95
3152,6.45,16,6.57,9,6,5.66,6.92
3153,3.0,4,3.05,5,7,2.13,4.06
3154,6.44,2,3.97,8,6,6.1,5.13
3155,5.44,15,1.68,8,5,6.23,5.4
3156,4.55,8,3.31,6,7,3.36,4.51
3157,5.14,28,2.11,5,8,4.36,4.34
3158,7.16,8,2.3,8,6,4.61,5.12
3159,8.99,77,3.89,7,6,6.28,7.06
3160,7.47,28,2.79,8,5,6.22,6.65
3161,6.09,1,9.26,7,8,4.29,3.72
3162,7.68,14,5.67,6,6,5.34,5.38
3163,6.31,17,6.17,6,7,4.68,4.52
3164,5.96,24,3.78,5,7,4.7,4.87
3165,5.27,14,4.21,7,6,4.26,4.32
3166,4.37,13,3.14,6,7,3.98,5.75
3167,6.42,9,9.25,6,9,4.06,3.12
3168,7.24,6,3.78,5,6,4.65,6.34
3169,6.86,58,2.79,4,6,6.99,4.3
3170,6.38,8,2.49,7,7,5.05,5.61
3171,5.58,1,4.67,7,8,3.38,3.7
3172,7.91,4,6.84,5,8,3.71,4.05
3173,5.02,39,6.17,8,9,4.81,4.1
3174,8.16,18,2.49,5,7,5.07,4.83
3175,5.5,30,2.44,7,6,4.96,4.41
3176,5.87,33,6.49,7,9,3.44,6.49
3177,4.8,35,8.2,6,10,2.76,4.71
3178,6.25,16,3.71,8,6,4.52,5.3
3179,8.46,4,6.41,9,6,5.25,7.12
3180,7.77,3,1.07,4,5,4.01,6.84
3181,8.47,17,2.31,2,7,5.01,5.31
3182,7.78,9,1.98,5,4,5.49,6.66
3183,5.34,16,4.82,4,7,4.45,4.86
3184,6.5,14,3.64,5,8,5.34,5.64
3185,5.83,18,4.48,9,5,5.71,6.59
3186,9.0,1,6.44,10,5,5.9,6.05
3187,5.2,1,2.69,4,8,4.22,4.91
3188,8.34,26,4.19,6,6,4.6,5.75
3189,8.34,4,1.32,6,7,4.99,5.81
3190,9.74,21,6.33,7,7,5.76,4.51
3191,6.39,16,6.19,4,7,4.2,3.49
3192,8.07,80,4.72,8,5,7.52,7.79
3193,10.42,36,4.24,8,4,6.45,8.14
3194,6.07,11,2.98,5,6,3.54,5.22
3195,4.7,19,1.21,8,8,5.89,3.78
3196,4.18,2,4.61,3,8,3.67,3.11
3197,8.07,10,5.51,3,8,6.36,4.21
3198,4.18,26,8.04,6,7,2.75,4.55
3199,6.44,19,3.21,7,5,5.44,5.37
3200,7.66,13,4.54,6,5,4.26,4.84
3201,7.28,4,6.23,8,5,6.66,5.24
3202,7.64,33,6.29,5,6,3.68,3.05
3203,7.33,6,2.76,8,6,4.93,5.64
3204,8.92,34,3.44,7,7,6.22,6.06
3205,5.57,19,2.95,9,5,5.68,4.67
3206,5.98,9,2.2,3,8,3.73,3.32
3207,5.84,1,6.94,5,8,4.12,6.08
3208,8.25,5,4.13,4,6,5.56,4.22
3209,8.35,44,3.85,7,5,6.47,7.13
3210,7.68,34,4.5,9,7,5.75,6.34
3211,8.78,17,4.11,5,7,4.63,5.53
3212,5.23,13,3.56,7,9,4.56,5.24
3213,9.5,21,2.48,9,4,7.32,5.39
3214,9.28,13,7.13,7,5,6.32,6.62
3215,8.1,21,2.86,7,7,5.43,5.01
3216,9.67,7,2.14,2,8,3.42,5.21
3217,4.52,36,3.84,9,6,5.69,5.73
3218,6.21,24,8.32,5,9,3.57,2.7
3219,5.9,8,2.36,10,5,5.96,7.39
3220,8.08,36,5.42,4,5,5.18,5.75
3221,5.42,13,3.51,7,5,3.96,5.17
3222,8.14,4,4.49,7,6,5.47,7.55
3223,9.06,2,5.84,1,9,4.01,3.13
3224,8.04,24,0.56,9,5,7.16,6.64
3225,7.43,40,2.21,7,4,4.72,7.04
3226,5.52,33,5.82,3,7,2.64,4.43
3227,5.73,21,4.19,7,6,4.52,5.48
3228,8.87,3,4.42,7,4,5.74,5.5
3229,8.17,2,5.42,6,5,4.08,5.77
3230,6.94,8,2.22,5,4,4.6,7.51
3231,6.37,39,6.11,6,4,4.28,6.23
3232,3.96,65,5.64,8,4,4.44,5.92
3233,5.39,6,4.48,7,5,4.8,7.67
3234,9.87,29,4.94,6,7,5.48,7.0
3235,5.08,17,6.33,6,10,2.9,4.41
3236,7.28,1,2.81,6,8,5.34,4.73
3237,8.51,16,5.32,4,7,4.24,4.51
3238,5.12,33,7.49,6,7,5.24,3.4
3239,7.28,6,5.28,5,7,3.23,4.62
3240,8.41,46,3.56,4,7,5.68,4.77
3241,7.02,5,8.64,2,10,3.06,3.0
3242,11.0,2,4.46,5,4,5.91,6.51
3243,4.5,3,6.8,7,8,3.74,3.66
3244,8.59,36,3.16,8,5,6.42,7.42
3245,6.74,11,6.14,7,7,4.98,4.95
3246,8.16,32,2.91,4,4,6.34,5.02
3247,7.66,15,4.65,6,6,5.08,5.95
3248,5.9,13,2.79,4,6,5.12,4.33
3249,7.34,33,7.8,9,9,5.21,4.87
3250,4.21,11,3.56,5,8,3.69,2.46
3251,7.9,32,1.78,5,7,5.11,5.01
3252,7.45,2,4.19,8,5,4.39,7.21
3253,7.96,20,5.07,6,6,4.73,5.88
3254,8.59,24,3.95,8,7,7.13,6.76
3255,7.55,46,2.37,4,8,4.28,4.72
3256,7.22,5,6.07,6,7,5.29,5.2
3257,5.68,19,6.52,7,9,2.78,5.21
3258,5.93,11,0.7,1,10,2.82,2.84
3259,8.78,10,2.25,5,7,5.59,4.27
3260,9.15,2,3.68,5,7,5.17,4.72
3261,6.64,3,2.94,6,8,4.87,4.11
3262,7.07,36,5.05,5,7,3.03,6.92
3263,5.64,28,7.68,7,8,3.74,4.92
3264,8.76,10,3.24,6,6,5.13,5.56
3265,8.0,35,7.15,8,6,5.11,5.0
3266,9.91,2,1.06,10,4,7.18,8.29
3267,5.68,20,4.91,3,8,2.29,3.95
3268,6.43,41,2.81,6,3,5.36,5.74
3269,7.35,37,4.95,8,7,7.08,6.27
3270,7.97,9,0.5,5,6,5.0,4.41
3271,6.68,27,1.43,7,6,4.31,5.61
3272,5.69,11,4.95,5,10,4.46,3.94
3273,8.32,37,2.74,4,7,4.72,5.78
3274,8.08,15,3.35,4,6,3.8,5.76
3275,5.63,29,7.67,2,10,2.83,1.0
3276,9.03,2,4.28,6,6,5.11,5.53
3277,8.76,18,5.8,6,7,5.45,6.28
3278,7.2,16,2.48,4,6,4.73,6.09
3279,7.12,19,1.32,5,5,5.55,4.37
3280,7.83,24,3.84,3,7,4.63,4.47
3281,5.71,50,1.02,7,4,7.36,6.29
3282,7.05,31,2.6,5,6,4.57,5.6
3283,3.77,5,4.48,7,9,2.74,2.89
3284,8.31,35,3.78,5,5,4.88,4.72
3285,4.66,3,4.67,4,7,4.29,1.78
3286,9.26,19,5.2,5,6,4.23,5.22
3287,6.5,43,1.61,9,5,6.91,5.73
3288,6.68,2,2.12,10,4,7.71,4.75
3289,6.06,38,0.5,3,7,5.34,4.59
3290,6.57,32,3.26,8,6,5.31,5.59
3291,9.13,14,5.47,4,7,5.43,5.54
3292,3.27,7,6.98,5,9,3.55,3.3
3293,8.92,10,4.38,6,8,4.98,6.17
3294,7.51,69,6.75,7,7,4.92,5.58
3295,5.19,5,4.77,5,7,3.87,3.99
3296,5.39,17,4.21,7,8,5.15,4.54
3297,9.51,2,2.78,8,4,7.48,7.58
3298,5.58,5,0.5,7,6,5.03,5.68
3299,5.27,29,6.45,4,10,3.29,3.88
3300,8.71,7,3.89,5,8,4.89,4.04
3301,7.51,85,6.78,8,5,7.78,8.14
3302,5.59,14,2.1,9,7,5.46,5.18
3303,7.32,15,8.86,4,8,4.55,3.91
3304,5.46,1,3.5,7,7,5.38,6.08
3305,8.65,63,2.62,7,4,6.5,6.85
3306,8.59,4,3.57,3,8,3.97,4.18
3307,7.8,15,4.34,8,4,6.16,6.84
3308,7.54,10,3.86,10,5,5.73,5.81
3309,9.64,11,2.97,7,7,5.64,4.88
3310,7.0,21,0.5,7,5,4.23,5.25
3311,5.23,22,2.39,5,8,4.89,5.61
3312,7.67,3,6.15,5,7,3.94,4.03
3313,10.13,14,2.24,5,4,7.02,5.96
3314,5.48,31,0.57,4,7,3.65,4.41
3315,6.46,12,1.89,6,6,3.99,5.54
3316,7.62,4,3.82,7,7,3.99,5.76
3317,6.92,8,2.48,4,6,2.93,3.82
3318,5.53,5,3.44,5,8,5.11,5.33
3319,8.68,3,2.4,7,4,6.61,6.16
3320,10.48,9,6.02,2,7,4.91,5.8
3321,7.29,16,4.98,8,6,6.56,4.88
3322,5.64,2,8.44,6,8,3.23,4.46
3323,4.68,19,3.24,6,7,3.54,4.82
3324,7.39,99,3.43,8,5,6.86,6.17
3325,8.66,67,6.37,8,6,6.06,7.24
3326,7.71,35,4.78,7,6,6.56,4.69
3327,7.0,6,2.12,7,5,7.66,4.78
3328,6.12,0,5.11,6,6,5.3,5.24
3329,5.36,36,4.79,5,7,4.54,3.14
3330,8.25,1,0.5,4,5,5.19,5.76
3331,8.37,5,2.7,7,2,7.41,5.52
3332,4.68,16,4.38,7,7,4.46,5.16
3333,9.38,4,6.89,6,9,5.48,3.91
3334,7.86,36,5.4,4,8,3.96,4.47
3335,9.1,30,2.87,1,7,4.19,4.88
3336,4.99,28,2.58,6,6,5.0,6.21
3337,4.95,34,5.6,3,7,4.46,2.89
3338,6.78,5,0.5,7,6,5.21,4.03
3339,7.75,26,2.38,10,5,6.98,6.0
3340,9.69,9,6.82,7,4,5.39,6.89
3341,8.06,22,4.59,5,8,5.2,6.59
3342,6.64,3,2.48,4,8,4.92,3.64
3343,5.46,24,1.6,5,6,4.6,5.34
3344,8.85,72,5.68,6,6,6.02,6.27
3345,5.55,1,4.16,8,7,4.45,5.38
3346,9.44,2,3.56,6,6,5.36,5.71
3347,6.57,3,4.75,5,6,5.44,3.69
3348,9.39,11,4.33,7,6,5.58,7.26
3349,8.02,7,4.18,9,5,6.11,6.08
3350,6.79,33,1.35,7,7,4.8,4.96
3351,6.22,13,1.95,6,7,4.74,5.04
3352,6.49,13,5.5,3,8,4.45,3.64
3353,7.64,25,5.12,4,8,3.7,6.22
3354,7.12,9,4.76,3,6,3.51,4.29
3355,6.11,9,2.83,6,6,5.85,4.88
3356,6.75,28,5.53,4,7,3.98,5.21
3357,7.12,30,3.26,5,6,5.65,5.11
3358,3.81,0,6.6,4,9,2.45,3.37
3359,7.69,3,2.51,5,5,4.55,5.48
3360,5.53,5,2.95,3,9,5.01,4.18
3361,5.27,9,3.7,6,8,4.04,5.17
3362,4.47,7,5.69,7,7,4.63,3.61
3363,4.31,22,3.93,6,5,4.31,3.56
3364,4.97,35,4.08,7,6,4.72,4.01
3365,5.94,4,3.22,7,6,5.79,5.36
3366,9.93,17,4.54,7,7,5.79,7.5
3367,6.21,9,3.86,8,5,4.66,4.14
3368,7.27,14,2.43,8,6,5.51,7.44
3369,7.6,19,4.25,9,5,6.17,7.13
3370,7.2,45,4.3,3,8,4.05,3.38
3371,6.88,4,8.7,7,8,4.07,4.52
3372,5.21,2,2.78,4,8,2.74,2.93
3373,9.18,20,2.32,9,3,6.65,8.3
3374,9.71,10,4.56,6,5,4.87,6.72
3375,4.48,4,2.01,6,8,3.3,3.82
3376,5.46,2,1.85,6,5,5.25,4.75
3377,6.58,16,1.13,6,7,5.74,5.72
3378,5.55,7,2.45,9,4,5.63,5.62
3379,7.76,119,2.5,8,3,6.32,6.74
3380,5.91,10,1.43,9,5,5.35,5.83
3381,10.25,5,3.5,6,4,7.06,6.69
3382,8.79,20,0.5,2,6,5.22,3.97
3383,7.32,6,4.98,7,7,4.23,5.07
3384,8.54,14,2.89,4,6,5.66,5.09
3385,8.66,13,3.18,5,5,5.2,5.59
3386,6.15,12,5.17,6,8,3.94,5.57
3387,5.78,32,4.74,6,7,4.89,5.2
3388,7.12,5,2.74,7,7,5.1,5.76
3389,8.29,47,4.9,4,4,6.75,4.57
3390,7.21,31,7.1,7,7,5.68,4.98
3391,4.63,8,1.98,6,6,4.3,4.64
3392,5.8,4,5.51,10,7,5.75,5.59
3393,6.89,7,1.77,3,9,3.28,4.62
3394,6.89,8,6.35,6,6,5.88,5.46
3395,9.96,16,2.58,7,6,6.6,4.88
3396,4.92,1,2.5,5,7,5.58,4.2
3397,7.76,49,6.3,5,5,4.84,5.8
3398,9.23,2,5.44,8,6,4.51,4.64
3399,10.41,7,2.64,8,6,6.45,7.2
3400,6.39,2,4.25,5,9,2.49,6.4
3401,7.74,6,2.58,3,7,6.04,3.98
3402,7.85,36,0.81,7,3,6.35,6.1
3403,7.29,19,4.38,7,6,4.45,5.76
3404,6.85,5,3.29,7,6,4.74,6.2
3405,7.65,41,2.11,6,7,4.35,6.35
3406,3.2,32,6.61,8,8,3.4,3.58
3407,8.02,28,2.18,9,2,8.09,7.37
3408,7.19,38,4.29,9,6,6.43,6.02
3409,6.67,19,6.16,5,8,4.73,3.95
3410,10.07,14,3.49,10,5,7.38,8.24
3411,5.99,9,2.53,7,6,5.01,7.11
3412,6.4,5,4.6,3,9,2.5,3.4
3413,9.99,16,4.91,7,5,6.51,6.06
3414,5.75,44,5.75,6,8,6.26,3.77
3415,6.17,18,7.74,6,7,5.1,5.49
3416,6.78,50,3.09,6,7,5.55,7.1
3417,8.26,9,4.39,7,6,5.42,4.6
3418,7.31,24,1.46,7,6,5.11,5.52
3419,5.06,21,5.33,5,7,6.46,2.28
3420,6.2,22,4.37,5,9,4.76,4.79
3421,6.09,21,3.64,5,7,4.48,3.98
3422,6.88,5,2.76,6,7,4.68,4.19
3423,7.64,3,3.3,8,5,5.15,5.53
3424,7.63,77,4.47,8,6,7.5,5.42
3425,4.34,1,2.07,6,5,4.49,5.35
3426,8.6,13,3.39,8,5,6.61,7.08
3427,7.38,11,4.03,7,5,4.61,6.77
3428,9.08,9,0.92,6,4,6.48,5.8
3429,7.67,30,1.9,9,6,6.28,6.85
3430,8.65,27,2.68,7,3,6.69,6.92
3431,7.7,47,7.14,6,8,4.91,5.67
3432,9.02,10,2.34,8,5,6.28,6.23
3433,7.78,17,3.89,4,8,4.91,5.09
3434,6.85,45,1.92,6,4,5.04,6.45
3435,10.41,102,2.45,6,5,6.59,7.5
3436,8.33,70,1.12,7,5,5.37,6.89
3437,7.86,25,5.34,6,6,5.42,6.92
3438,5.09,3,1.35,4,9,3.9,4.24
3439,5.07,0,5.81,4,6,2.93,3.02
3440,7.44,35,4.94,5,7,4.02,4.76
3441,7.22,37,3.85,6,7,5.17,6.66
3442,6.08,27,5.88,4,6,4.71,6.41
3443,7.21,7,10.21,9,8,3.86,5.0
3444,9.38,20,4.96,7,6,5.68,6.7
3445,8.04,8,1.76,7,3,6.88,6.56
3446,5.29,12,6.98,6,9,3.3,4.41
3447,6.83,10,4.37,3,7,3.6,3.36
3448,5.79,49,8.22,6,10,4.72,4.8
3449,6.42,5,2.99,7,7,4.8,4.47
3450,6.38,17,6.56,6,8,4.72,3.16
3451,6.28,9,4.0,8,7,5.71,6.03
3452,5.12,22,9.31,6,9,4.83,5.41
3453,6.81,17,3.44,7,4,6.35,5.36
3454,6.16,52,10.0,6,6,6.1,4.87
3455,3.0,2,4.88,7,8,4.97,2.97
3456,10.08,5,5.69,8,4,6.98,7.01
3457,8.63,29,7.4,4,9,4.68,4.58
3458,6.44,9,2.42,7,5,5.11,4.74
3459,7.03,4,5.94,8,6,4.78,5.08
3460,5.24,14,3.41,10,6,4.26,4.18
3461,9.54,21,4.3,6,8,5.25,4.43
3462,9.85,1,4.17,2,8,5.34,2.95
3463,7.24,7,5.14,3,7,3.49,3.52
3464,8.54,33,5.06,4,7,6.03,4.81
3465,7.26,15,2.85,8,6,5.67,6.2
3466,4.99,1,4.25,10,7,5.89,6.21
3467,6.38,7,0.5,5,5,5.63,3.73
3468,7.2,20,5.98,6,9,4.15,5.61
3469,6.32,4,7.39,1,8,4.22,2.64
3470,6.67,35,4.38,7,7,6.61,5.91
3471,6.86,23,0.79,6,5,5.84,6.02
3472,6.88,13,5.49,6,7,3.13,5.08
3473,7.08,49,2.47,4,6,4.43,5.31
3474,5.41,10,4.36,5,6,3.1,4.82
3475,5.92,5,5.37,4,5,4.01,6.19
3476,5.07,22,5.09,4,9,3.08,5.83
3477,8.47,17,6.16,4,6,5.18,4.68
3478,3.84,8,4.29,4,9,2.15,4.21
3479,8.73,8,4.35,4,9,2.88,4.75
3480,9.08,10,5.47,7,6,6.48,6.54
3481,6.55,7,3.86,4,4,5.33,4.02
3482,3.1,25,2.62,6,6,2.35,4.98
3483,6.46,21,4.9,4,6,3.98,4.87
3484,6.9,12,1.74,4,6,4.33,5.63
3485,5.48,10,3.84,4,7,3.45,3.35
3486,6.23,9,1.24,8,8,6.08,3.17
3487,9.3,7,2.89,6,6,5.85,7.57
3488,8.0,2,2.97,5,7,3.61,4.48
3489,5.61,6,2.03,4,8,4.39,3.81
3490,4.6,8,6.2,4,9,3.25,4.73
3491,6.51,16,6.04,5,6,4.54,3.77
3492,6.68,30,6.63,3,7,4.51,4.48
3493,7.74,10,3.62,5,7,3.47,6.66
3494,6.2,58,3.13,5,7,4.92,5.16
3495,7.77,35,5.61,5,7,5.37,6.81
3496,9.9,84,4.26,8,6,6.77,7.42
3497,8.22,42,4.25,6,5,5.5,6.78
3498,6.93,19,0.5,6,5,5.1,5.4
3499,6.73,18,5.51,8,7,5.88,4.87
3500,6.46,3,5.25,4,6,3.35,4.38
3501,8.77,26,3.99,5,4,5.57,3.97
3502,6.06,18,5.63,3,10,3.03,2.62
3503,7.07,14,5.2,6,6,5.99,4.96
3504,7.08,24,2.61,7,5,5.72,6.08
3505,6.25,12,3.56,2,8,3.52,4.9
3506,4.94,15,1.98,8,4,3.77,5.2
3507,7.48,10,6.92,7,6,4.19,4.82
3508,6.91,25,5.95,6,6,5.5,5.34
3509,7.75,42,2.37,4,7,4.91,4.51
3510,6.2,37,5.24,7,4,5.88,4.23
3511,8.83,31,4.56,9,4,7.33,6.48
3512,5.68,0,2.63,5,7,5.02,3.35
3513,9.57,49,4.25,5,5,5.26,6.76
3514,4.38,6,5.72,6,9,4.86,3.15
3515,7.65,44,5.88,5,6,5.42,5.85
3516,7.71,4,8.66,6,10,4.61,4.0
3517,5.81,12,4.19,8,7,3.67,5.47
3518,7.64,28,3.52,6,6,5.86,5.98
3519,8.92,20,5.12,7,6,5.26,5.54
3520,3.67,11,3.63,10,7,4.92,4.29
3521,7.75,23,2.83,9,4,7.78,7.31
3522,3.26,16,2.15,4,9,3.38,2.36
3523,5.55,6,0.5,9,4,5.88,4.77
3524,9.44,21,5.47,8,6,6.56,5.86
3525,6.13,5,0.72,9,5,5.22,5.44
3526,5.24,24,2.24,5,7,3.2,5.2
3527,6.7,0,4.58,6,7,5.04,3.21
3528,10.1,16,3.36,5,5,6.03,7.26
3529,4.25,10,8.3,6,10,4.23,2.81
3530,5.42,7,0.98,9,5,4.88,5.96
3531,9.25,15,8.48,6,6,4.5,6.32
3532,9.79,21,6.76,3,7,5.42,4.79
3533,6.84,67,5.82,5,9,4.31,4.02
3534,5.14,36,6.88,5,8,2.85,5.44
3535,10.14,25,4.81,9,4,6.66,7.18
3536,9.39,13,0.59,5,4,5.26,5.76
3537,8.02,10,5.03,5,6,3.87,6.73
3538,5.78,1,1.04,5,8,4.5,3.89
3539,6.93,9,2.94,9,5,6.31,4.47
3540,6.76,38,3.84,8,6,5.5,7.19
3541,7.5,10,2.18,7,5,6.97,4.93
3542,9.18,12,5.89,6,7,5.24,7.23
3543,8.32,6,3.57,6,7,5.71,5.59
3544,5.38,6,4.82,6,6,3.26,4.44
3545,9.06,1,3.98,10,3,6.09,6.23
3546,7.47,19,4.25,4,6,5.48,5.2
3547,8.03,12,2.23,1,8,4.79,3.02
3548,9.2,19,1.65,7,4,6.29,7.07
3549,5.33,16,3.69,9,6,5.73,5.61
3550,6.95,32,2.07,6,5,5.7,6.6
3551,6.2,28,6.79,2,10,3.61,2.47
3552,4.65,30,1.25,7,6,4.17,3.92
3553,7.52,14,8.67,4,10,5.69,3.48
3554,10.77,9,4.6,4,6,7.96,6.03
3555,4.24,54,4.14,4,8,3.38,4.91
3556,6.95,1,2.92,3,8,3.83,3.55
3557,7.96,3,5.31,6,6,5.68,5.13
3558,7.18,11,3.59,5,8,5.25,4.79
3559,6.83,19,4.6,4,7,3.99,3.68
3560,5.05,0,5.68,10,6,5.66,4.41
3561,7.35,25,5.34,5,6,4.79,4.93
3562,5.86,16,6.48,6,9,3.3,4.97
3563,3.72,13,5.08,9,7,4.3,4.5
3564,8.79,11,2.1,7,4,6.41,7.09
3565,8.44,15,0.5,9,2,7.3,5.94
3566,7.08,4,4.42,5,7,3.94,4.57
3567,7.34,2,4.45,8,5,5.4,4.09
3568,8.61,7,7.85,7,5,6.16,6.1
3569,7.34,25,3.77,8,7,6.06,5.09
3570,8.36,18,4.75,8,4,6.19,7.08
3571,6.55,13,5.55,5,5,4.59,2.19
3572,8.97,17,5.03,10,4,7.73,8.07
3573,7.48,16,5.69,2,8,4.67,2.6
3574,7.29,7,2.36,4,6,4.34,4.22
3575,5.09,2,2.05,7,7,2.45,3.93
3576,7.43,45,3.44,7,5,4.71,6.62
3577,5.75,18,0.5,6,8,3.59,4.91
3578,6.04,24,3.92,7,6,4.99,5.9
3579,5.78,12,2.68,4,6,4.63,4.52
3580,5.4,28,4.64,8,7,5.52,4.79
3581,10.19,18,3.47,6,5,5.58,5.62
3582,9.0,1,1.97,9,4,6.24,7.43
3583,9.88,44,6.62,5,4,6.0,6.61
3584,5.17,7,4.17,7,9,4.13,3.83
3585,7.11,3,5.73,7,5,4.84,4.63
3586,5.06,2,4.37,8,8,6.33,4.98
3587,5.96,25,4.93,6,8,4.71,5.66
3588,5.62,24,1.28,5,6,3.85,4.64
3589,8.86,24,6.56,5,8,5.02,4.99
3590,6.41,49,5.76,7,8,4.78,5.0
3591,8.6,9,3.96,3,6,4.52,3.58
3592,7.91,16,4.58,7,8,4.64,6.46
3593,10.46,19,6.01,7,6,5.67,6.36
3594,4.78,78,3.26,9,4,4.69,5.46
3595,8.89,7,0.83,5,5,5.47,4.37
3596,8.72,63,3.29,6,5,6.3,6.95
3597,5.54,3,4.3,6,8,3.74,4.97
3598,8.51,29,3.94,4,6,5.81,5.33
3599,7.5,20,6.64,6,6,5.03,5.72
3600,6.66,34,2.08,4,6,4.8,4.62
3601,5.76,1,2.33,8,6,5.27,4.34
3602,5.92,2,1.88,7,7,4.79,6.01
3603,10.07,1,4.86,7,5,6.2,7.14
3604,7.0,18,0.95,5,6,4.02,4.35
3605,8.17,18,5.49,9,5,7.01,7.26
3606,5.81,47,2.13,4,8,3.4,5.22
3607,5.83,13,2.45,6,5,5.54,5.04
3608,8.62,1,7.54,4,6,4.89,4.39
3609,4.98,5,6.47,6,7,3.59,4.47
3610,6.38,0,4.24,8,4,5.7,5.71
3611,7.05,30,1.38,7,4,5.7,5.51
3612,7.17,34,8.03,4,9,4.83,5.19
